# ----------------------------------------
# 1 Master View
# User Explorer
# 20180601-20180926
# ----------------------------------------

Client Id,Sessions,Avg. Session Duration,Bounce Rate,Revenue,Transactions,Goal Conversion Rate
478509570.1530634791,3,00:00:07,66.67%,$0.00,0,0.00%
480014456.1530541007,3,00:00:00,100.00%,$0.00,0,0.00%
48009826.1529350954,3,00:00:37,66.67%,$0.00,0,0.00%
481041420.1530810866,3,00:01:00,66.67%,$0.00,0,0.00%
483315939.1537638819,3,00:03:10,66.67%,$0.00,0,33.33%
48417508.1535673638,3,00:00:00,100.00%,$0.00,0,0.00%
485536349.1531324204,3,00:02:03,66.67%,$0.00,0,100.00%
486223507.1528887297,3,00:06:24,66.67%,$0.00,0,33.33%
488004134.1534972627,3,00:00:02,66.67%,$0.00,0,0.00%
488108260.1528168847,3,00:00:07,66.67%,$0.00,0,0.00%
488731731.1537014123,3,00:00:00,100.00%,$0.00,0,0.00%
488964673.1524669223,3,00:00:02,66.67%,$0.00,0,0.00%
489533732.1528347207,3,00:00:00,100.00%,$0.00,0,0.00%
491504199.1530563649,3,00:00:00,100.00%,$0.00,0,0.00%
492131925.1527959556,3,00:05:33,66.67%,$0.00,0,0.00%
492809373.1526920922,3,00:01:02,66.67%,$0.00,0,0.00%
493456887.1530022094,3,00:00:02,66.67%,$0.00,0,0.00%
493607131.1532864724,3,00:00:00,100.00%,$0.00,0,0.00%
495500891.1528525122,3,00:00:24,66.67%,$0.00,0,0.00%
49561537.1533791437,3,00:00:14,66.67%,$0.00,0,0.00%
498000751.1527419724,3,00:00:00,100.00%,$0.00,0,0.00%
498259694.1536307876,3,00:00:12,66.67%,$0.00,0,0.00%
498356252.1531377096,3,00:01:33,66.67%,$0.00,0,0.00%
498528207.1528373560,3,00:00:00,100.00%,$0.00,0,0.00%
500184184.1529078753,3,00:00:09,66.67%,$0.00,0,0.00%
500621077.1528311821,3,00:00:00,100.00%,$0.00,0,0.00%
501350892.1536791616,3,00:00:06,66.67%,$0.00,0,0.00%
503167465.1536350716,3,00:01:30,66.67%,$0.00,0,0.00%
504085401.1528059676,3,00:09:27,66.67%,$0.00,0,66.67%
504279479.1533554529,3,00:02:09,66.67%,$0.00,0,33.33%
504931459.1534086525,3,00:00:13,66.67%,$0.00,0,0.00%
506328031.1529882739,3,00:00:10,66.67%,$0.00,0,0.00%
507384444.1529928216,3,00:00:12,66.67%,$0.00,0,0.00%
50745158.1536451797,3,00:04:30,66.67%,$0.00,0,0.00%
509370778.1529596148,3,00:00:11,66.67%,$0.00,0,0.00%
509472880.1533717517,3,00:00:55,66.67%,$0.00,0,0.00%
50985502.1531524275,3,00:03:05,66.67%,$0.00,0,133.33%
510093191.1535936058,3,00:00:11,66.67%,$0.00,0,0.00%
51129875.1528741213,3,00:00:11,66.67%,$0.00,0,0.00%
512618258.1529586552,3,00:00:07,66.67%,$0.00,0,0.00%
513094888.1531642295,3,00:01:58,66.67%,$0.00,0,100.00%
513580921.1524524930,3,00:00:00,100.00%,$0.00,0,0.00%
514207773.1531905290,3,00:00:00,100.00%,$0.00,0,0.00%
514293297.1537334220,3,00:00:09,66.67%,$0.00,0,0.00%
516630894.1533396547,3,00:00:23,66.67%,$0.00,0,0.00%
517524545.1536342712,3,00:01:11,66.67%,$0.00,0,0.00%
